201,1
242,5
181,6
248,9
68,12
101,15
26,17
131,17
135,18
65,20
113,20
82,24
139,24
141,26
87,28
237,30
53,35
76,35
91,36
38,44
157,47
6,51
180,54
78,63
130,65
94,67
89,68
241,68
247,73
137,75
136,82
51,92
107,107
110,112
59,126
106,128
97,132
57,159
71,159
40,174
67,203
62,216
45,224
160,242
112,257
103,260
28,261
9,287
134,311
31,318
105,320
34,324
3,335
154,366
205,368
143,377
64,394
149,394
5,425
179,463
189,516
148,532
108,558
213,650
142,652
75,654
124,764
176,791
229,846
210,888
156,906
12,991
221,1006
246,1024
117,1090
80,1098
232,1223
95,1285
24,1288
140,1342
93,1348
217,1401
121,1517
36,1616
86,1735
219,1741
55,1760
125,1783
88,1792
47,1807
15,1901
49,1965
8,2090
171,2090
227,2144
99,2153
73,2186
119,2348
100,2434
18,2547
234,2645
70,2685
22,2944
195,2995
2,3001
81,3101
123,3337
20,3434
169,3643
44,3724
159,3751
109,3918
164,4012
61,4065
203,4877
30,5015
162,5072
33,5118
96,5234
4,5278
211,5512
90,5631
215,5698
83,5749
138,5885
126,5890
204,5939
153,6038
178,6214
184,6791
37,7116
114,7418
11,7660
77,7768
66,7771
188,8188
206,8198
147,8809
226,8869
185,8883
85,9028
200,9212
50,10203
168,11018
56,12065
104,12383
52,12622
84,12651
63,12926
209,14306
14,14544
155,14590
166,14855
207,15760
224,16601
7,17722
27,17952
111,18282
231,19441
58,19460
72,20928
193,22667
39,22842
92,22874
190,22894
25,22940
74,24334
1,26678
228,26964
202,30958
102,33817
220,34497
223,40769
216,48864
218,55521
158,62981
170,66883
116,69060
152,97459
129,143820
163,216828
133,289951
