68,1
248,2
53,3
91,3
135,3
139,3
141,3
65,4
113,4
82,5
76,6
89,6
101,6
237,6
241,6
38,7
87,8
97,9
78,10
94,10
180,10
6,11
247,13
136,14
51,16
59,16
110,16
137,16
157,16
130,17
57,23
107,23
105,24
106,25
40,38
45,40
71,42
160,42
9,43
28,46
31,46
134,46
62,47
34,48
67,49
112,53
229,53
103,56
205,57
149,62
64,72
5,76
179,76
93,80
108,81
154,86
148,90
121,97
3,104
213,107
124,109
75,110
142,118
12,142
176,142
189,158
221,163
117,170
156,171
80,178
246,181
24,198
95,205
195,210
210,212
232,223
55,229
140,244
169,258
36,276
86,278
88,286
15,288
125,300
49,315
219,326
47,333
217,337
171,339
8,343
99,362
73,374
119,404
234,417
18,424
100,425
215,442
164,475
22,502
123,508
81,542
227,575
96,605
70,613
20,618
44,623
159,646
61,659
184,720
109,723
2,745
168,800
203,831
211,835
200,857
33,861
30,870
4,904
90,942
204,996
83,1000
138,1011
178,1059
207,1064
126,1077
162,1161
37,1182
11,1250
153,1396
85,1399
147,1455
206,1469
226,1477
104,1484
52,1492
92,1586
185,1635
114,1637
77,1639
66,1741
50,1746
42,1793
84,2002
56,2049
63,2169
14,2440
155,2505
166,2510
188,2518
224,2694
228,2925
7,2957
27,3011
111,3039
231,3369
17,3374
193,3385
58,3391
72,3489
209,3516
39,3946
74,4109
190,4145
202,5305
220,5929
1,5999
127,6672
223,6783
102,7695
218,9373
158,10222
43,10543
116,11291
216,11646
79,12039
152,22525
129,24212
25,25053
133,50834
